RIC,Symbol,Exchange,CompanyName,Sector,Industry,Last
REE.HM,REE,HOSE,Refrigeration Electrical Engineering Corp,Industrials,Industrial Conglomerates,56500
RGC.HNO,RGC,UPCOM,PV - Inconess Investment Corp,Consumer Discretionary,"Hotels, Restaurants & Leisure",14000
RHN.HNO,RHN,UPCOM,Haninh Railway JSC,,,10000
RIC.HM,RIC,HOSE,Royal International JSC,Consumer Discretionary,"Hotels, Restaurants & Leisure",18750
ROS.HM,ROS,HOSE,FLC Faros Construction JSC,Capital Goods,Construction Services,6700
RTB.HNO,RTB,UPCOM,Tan Bien Rubber JSC,Materials,Chemicals,15000
RTH.HNO,RTH,UPCOM,Thanh Hoa Railway JSC,,,9000
S12.HNO,S12,UPCOM,Song Da No12 JSC,Industrials,Construction & Engineering,700
S27.HNO,S27,UPCOM,Song Da 27 JSC,Industrials,Construction & Engineering,1700
S4A.HM,S4A,HOSE,Sesan 4A Hydroelectric JSC,Utilities,Independent Power and Renewable Electricity Producers,26500
S55.HN,S55,HNX,Song Da 505 JSC,Industrials,Construction & Engineering,34000
S72.HNO,S72,UPCOM,Song Da 702 Hydroelectric JSC,,,6200
S74.HNO,S74,UPCOM,Song Da 7.04 JSC,Industrials,Construction & Engineering,5200
S96.HNO,S96,UPCOM,Song Da No 9.06 JSC,Industrials,Construction & Engineering,800
S99.HN,S99,HNX,SCI JSC,Industrials,Construction & Engineering,21100
SAB.HM,SAB,HOSE,Saigon Beer Alcohol Beverage Corp,Consumer Staples,Beverages,171900
SAC.HNO,SAC,UPCOM,Sai Gon Port Stevedoring And Service JSC,,,11000
SAF.HN,SAF,HNX,Safoco Foodstuff JSC,Consumer Staples,Food Products,51100
SAL.HNO,SAL,UPCOM,Viet Nam Salvage JSC,,,8609
SAM.HM,SAM,HOSE,Sam Holdings Corp,Industrials,Electrical Equipment,10350
SAP.HNO,SAP,UPCOM,Textbook Printing JSC in Ho Chi Minh City,Industrials,Commercial Services & Supplies,9000
SAS.HNO,SAS,UPCOM,Southern Airports Services JSC,Industrials,Transportation Infrastructure,26300
SAV.HM,SAV,HOSE,Savimex Corp,Consumer Discretionary,Household Durables,27900
SB1.HNO,SB1,UPCOM,Saigon- Nghetinh Beer JSC,Consumer Staples,Beverages,9100
